First-order groups,delta_d,delta_p,delta_h,Column6
-CH_{3},-0.97,-1.64,-0.78,Propane(2)
-CH_{2},-0.03,-0.3,-0.41,Butane(2)
- CH<,0.65,0.65,-0.2,Isobutane(1)
>C<,1.27,2.08,0.09,Neopentane(1)
=CH-CH_{2},-1.06,-2,-1.3,Propylene(1)
-CH=CH-,0,-0.3,-0.04,cis-2-Butene(1)
CH_{2} =C<,-0.48,-0.78,-0.83,Isobutene(1)
-CH=C<,0.54,-0.9,-1.89,2-Methyl-2-butene(1)
>C=C<,0.36,1.05,-15.47,"2,3-Dimethyl-2-butene(1)"
CH≡C-,0.23,-1.33,1.07,Propyne(1)
C≡C,-0.2,-0.76,-1.11,2-Butyne(1)
ACH,0.11,-0.53,-0.43,Benzene(6)
AC,0.84,0.62,0.01,Naphthalene(2)
ACCH_{3},0.22,-0.57,-1.15,Toluene(1)
ACCH_{2}-,0.69,0.65,-0.14,m-Ethyltoluene(1)
CH_{3} CO-,0.36,2.32,-1.31,Methylethylketone(1)
CH_{2} CO,0.65,3.73,-0.53,Cyclopentanone(1)
CHO(aldehydes),-0.4,3.47,0.17,1-Butanal(1)
COOH,-0.29,0.9,3.74,Vinylacid(1)
CH_{3} COO,-0.54,-0.4,1.58,Ethylacetate(1)
CH_{2} COO,0.29,3.65,1.25,Methylpropionate(1)
HCOO,NA,1.93,2.12,n-Propylformate(1)
COO,0.2,3.46,1.14,Ethylacrylate(1)
OH,-0.35,1.14,7.19,Isopropanol(1)
ACOH,0.53,1.1,6.96,Phenol(1)
CH_{3} O,-0.58,0.18,0.15,Methylethylether(1)
CH_{2} O,0.03,0.88,-0.15,Ethylvinylether(1)
CHO(ethers),0.88,1.69,0.45,Diisopropylether(1)
C_{2} H_{5} O_{2},-0.12,3.64,8.36,2-Methoxy-ethanol(1)
CH_{2} O(cyclic),0.28,0.2,-0.16,"1,4-Dioxane(2)"
CH_{2} NH_{2},-0.58,1.41,2.59,1-Amino-2-propanol(1)
CHNH_{2},0.01,-1.2,0.38,Isopropylamine(1)
CH_{3} NH,NA,0.68,5.66,n-Methylaniline(1)
CH_{2} NH,0.81,0.94,1.34,di-n-Propylamine(1)
CH_{3} N,0.88,1.2,1.61,Trimethylamine(1)
CH_{2} N,1.47,2.83,1.25,Triethylamine(1)
ACNH_{2},1.7,1.68,4.53,Aniline(1)
CONH_{2},-0.07,6.07,5.23,2-Methacrylamide(1)
CON(CH_{3} )_{2},0.45,5.79,3,"n,n-Dimethylacetamide(1)"
CH_{2} SH,1.28,-0.82,4.46,n-Butylmercaptan(1)
CH_{3} S,NA,0.49,-1.49,Methylethylsulfide(1)
CH_{2} S,1.06,0.75,-0.23,Diethylsulfide(1)
I,0.78,0.68,0.26,Isopropyliodide(1)
Br,0.57,0.7,-1.07,2-Bromopropane(1)
CH_{2} Cl,0.26,0.6,-0.54,n-Butylchloride(1)
CHCl,0.45,2.81,-1.41,Isopropylchloride(1)
CCl,2.76,2.04,0.11,t-Butylchloride(1)
CHCl_{2},1.18,1.84,-3.29,"1,1-Dichloropropane(1)"
CCl_{2},0.37,0.17,-1.43,Pentachlorocyclopropane(2)
CCl3,NA,1.28,-2.64,Benzotrichloride(1)
ACCl,0.85,-0.03,-0.78,m-Dichlorobenzene(2)
ACF,0.12,0.19,-0.72,Fluorobenzene(1)
Cl-(C=C),0.23,2.34,3.89,"2,3-Dichloropropene(1)"
CF_{3},-0.23,-1.97,-1.47,Perfluorohexane(2)
CH_{2} NO_{2},NA,6.89,-1.29,1-Nitropropane(1)
CHNO,NA,8.03,-2.32,2-Nitropropane(1)
ACNO_{2},1.42,4.48,-0.72,Nitrobenzene(1)
CH_{2} CN,-0.34,6.53,-0.89,n-Butyronitrile(1)
CF_{2},-0.97,NA,NA,Perfluoromethylcyclohexane(5)
CF,0.17,NA,NA,Perfluoromethylcyclohexane(1)
F,-0.71,NA,NA,2-Fluoropropane(1)
CH_{2} =C=C<,-0.28,NA,-1.92,"3-Methyl-1,2-butadiene(1)"
O,0.05,3.34,0.03,Divinylether(1)
Cl,0.23,1.87,-0.33,Hexachlorocyclopentadiene(2)
>C=N-,-0.31,0,-5.4,"2,4,6-Trimethylpyridine(1)"
NH,NA,0.01,2.21,Dibenzopyrrole(1)
CN,0.09,6.53,-0.68,cis-Crotonitrile(1)
O=C=N-,-0.13,1.61,4.05,n-Butylisocyanate(1)
SH,1.04,1.98,4.82,2-Mercaptobenzothiazole(1)
S,1.49,9.21,-0.63,Thiophene(1)
SO_{2},1.55,11.18,0.11,Sulfolene(1)
>C=S,0.77,0.07,3.41,n-Methylthiopyrrolidone(1)
>C=0,-0.43,0.79,1.81,Anthraquinone(2)
N,1.54,2.58,1.12,Triphenylamine(1)
pyridine_N,-0.31,0,-5.4,"2,4,6-Trimethylpyridine(1)"
